timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/19 11:01:22.860, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:23.863, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 42 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:24.866, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:25.868, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:26.870, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:27.872, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 98 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:28.873, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 45 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:29.875, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:30.878, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:31.879, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:32.882, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 99 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:33.884, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 94 %, 46 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:34.886, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 36 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:35.887, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:36.889, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:37.891, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:38.893, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 92 %, 47 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:39.896, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:40.898, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:41.899, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:42.902, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:43.904, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:44.905, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:45.908, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 86 %, 36 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:46.910, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:47.912, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:48.915, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:49.918, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:50.920, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
